Row Labels,sample date,"1,2,3-Trichlorobenzene","1,2,4-Trichlorobenzene",Acenaphthene,Acenaphthylene,AGOC-3A,Alachlor,Aldrin,alpha-Hexachlorocyclohexane,Aluminium,Ammonium,Anionic active surfactants,Anthracene,AOX,Arsenic,Atrazine,Barium,Benzo(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,"Benzo(g,h,i)perylene",Benzo(k)fluoranthene,Berilium,beta-Hexaxchlorocyclohexane,Bicarbonates,Biochemical Oxygen,Boron,Cadmium,Calcium,Carbonates,Cesium,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),Chlorides,Chlorodinine,Chromium,Chrysene,Copper,Cyanides,Dieldrin,Dissolved organic carbon,Dissolved oxygen,Dissolved silicates,Endosulfan (alpha),Endosulfan (beta),Endrin,Fecal coliforms,Fecal streptococci ,Fluoranthene,Fluorene,gamma-Hexachlorocyclohexane,Heptachlor,Heptachloroepoxide,Hexachlorobenzene,"Indeno(1,2,3-c,d)pyrene",Inorganic nitrogen,Iron,Isodrin,Lead,Macrozoobenthos,Magnesium,Manganese,Mercury,Methoxychlor,Methylosmoline,Metolachlor,Naphthalene,Nickel,Nitrates,Nitrites,Organic nitrogen,Orthophosphate-phosphorus,Oxygen saturation,"p,p-DDD","p,p-DDE","p,p-DDT",PAHs,PCB 101,PCB 118,PCB 138,PCB 153,PCB 180,PCB 28,PCB 52,Pentachlorobenzene,Petroleum hydrocarbons,Phenanthrene,Potassium,Pyrene,Selenium,Silica (SiO2),Simazine,Sodium,Sulfides,Sulphates,Tetrachloromethane,Total coliforms,Total dissolved phosphorus,Total dissolved salts,Total extractable matter,Total hardness,Total nitrogen,Total organic carbon,Total phosphorus,Trifluralin,Water temperature,Zinc
Achara,10/11/2009,,,,,,,,,,0.031,0.034,,,1,,,,,,,,,,97.6,1.2,,0.3,,,,6,0,,,0.6,,2.8,,,,9.2,6.98,,,,,,,,,,,,,,0.17,,0.5,,,0.06,,,,,,1.2,1.695,0.027,0.805,0.1173,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,184,,,2.14,,0.16,,17,5
Achara,11/19/2009,,,,,,,,,,0.39,0.034,,,0.5,,,,,,,,,,109.8,2.7,,0.3,,,,5,0,,,3.8,,6.1,0.0025,,,11.5,8.68,,,,,,,,,,,,,,0.08,,0.5,,,0.15,,,,,,3.5,1.779,0.024,1.604,0.2282,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,218,,,2.8,,0.28,,8,10
Achara,12/10/2009,,,,,,,,,,0.234,,,,,,,,,,,,,,122,2.7,,,,,,5,4.3,,,,,,0.0025,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987,0.012,0.261,0.0684,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,159,,,1.26,,0.11,,6,5
Achara,1/16/2010,,,,,,,,,,0.451,,,,0.5,,,,,,,,,,,2,,0.4,31.5,,,7,4.5,8.1,,0.5,,2.7,,,,12.5,7.464,,,,,,,,,,,,,1.457,,,0.6,,11.9,,1,,,,,3.1,0.98762,0.01824,0.36,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,0.24,,4,
Achara,2/11/2010,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.327,,,,,,,,,,,,,1.178,,,,,,,,,,,,,1.08028,0.02736,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,0.2,,,
Achara,2/20/2010,,,,,,,,,,0.062,,,,0.5,,,,,,,,,,,1,,0.25,31.1,,,5,2.1,6,,0.3,,2.9,,,,14.3,8.533,,,,,,,,,,,,,0.811,,,0.5,,5.6,,1,,,,,1.2,0.73676,0.01216,0.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,0.12,,5,9
Achara,2/21/2010,,,,,,,,,,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.073,,,,,,,,,,,,,1.048,,,,,,,,,,,,,0.97406,0.01216,0.15,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,
Achara,3/13/2010,,,,,,,,,,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.833,,,,,,,,,,,,,2.675,,,,,,,,,,,,,2.05208,0.09424,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,0.33,,,
Achara,3/19/2010,,,,,,,,,,0.023,,,,0.5,,,,,,,,,,,2.1,,0.25,30.9,,,6,2.6,6.7,,0.8,,4.5,,,,12,9.2,,,,,,,,,,,,,1.135,,,0.7,,4,,1,,,,,2.6,1.09384,0.01824,0.35,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,0.12,,6,9
Achara,3/31/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,4/7/2010,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.659,,,,,,,,,,,,,1.037,,,,,,,,,,,,,1.00118,0.01216,0.53,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,0.14,,,
Achara,4/8/2010,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.214,,,,,,,,,,,,,1.12548,0.01824,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,0.16,,,
Achara,4/10/2010,,,,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.574,,,,,,,,,,,,,1.742,,,,,,,,,,,,,1.69274,0.01824,0.78,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,0.25,,,
Achara,4/16/2010,,,,,,,,,,0.28,,,,0.5,,,,,,,,,,,1.8,,0.25,39.2,,,8,2.6,10.3,,0.4,,4.2,,,,10.2,8.111,,,,,,,,,,,,,2.01,,,0.5,,5.2,,1,,,,,2.4,1.65432,0.076,0.46,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,0.29,,11,14
Achara,5/15/2010,,,,,,,,,,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.084,,,,,,,,,,,,,0.967,,,,,,,,,,,,,0.8249,0.04864,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,0.15,,,
Achara,5/20/2010,,,,,,,,,,0.218,,,,1.3,,,,,,,,,,,2.4,,0.25,29.9,,,8,5.2,7.8,,2.3,,56,,,,7.5,6.57,,,,,,,,,,,,,1.444,,,1.8,,4.5,,1,,,,,6.3,1.12322,0.10336,0.45,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,0.36,,20,41
Achara,6/17/2010,,,,,,,,,,0.047,,,,0.8,,,,,,,,,,,2.9,,0.25,27.3,,,9,3.8,5.4,,0.6,,5.4,,,,8,11.516,,,,,,,,,,,,,1.153,,,1,,4.8,,1,,,,,1,1.06672,0.03952,0.39,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,0.17,,18,25
Achara,6/30/2010,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885,,,,,,,,,,,,,0.85428,0.02432,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,0.13,,,
Achara,7/8/2010,,,,,,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.116,,,,,,,,,,,,,0.96954,0.0608,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,0.2,,,
Achara,7/16/2010,,,,,,,,,,0.085,,,,1.7,,,,,,,,,,,2,,0.25,33.6,,,6,4,9.5,,0.3,,3.7,,,,7.5,9.759,,,,,,,,,,,,,2.013,,,0.5,,4.5,,1,,,,,1,1.76958,0.15808,0.7,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,0.45,,22,12
Achara,8/7/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,8/8/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,8/12/2010,,,,,,,,,,0.163,,,,1.8,,,,,,,,,,,2.3,,0.25,40.4,,,7.2,6,10.3,,0.6,,3.5,,,,8.1,8.006,,,,,,,,,,,,,2.035,,,1.4,,4.6,,1,,,,,1.1,1.82608,0.0456,0.77,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,0.32,,23,12
Achara,8/18/2010,,,,,,,,,,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.038,,,,,,,,,,,,,1.77636,0.16112,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,0.55,,,
Achara,9/9/2010,,,,,,,,,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.623,,,,,,,,,,,,,2.326,,,,,,,,,,,,,2.147,0.13984,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,0.58,,,
Achara,9/17/2010,,,,,,,,,,0.109,,,,1,,,,,,,,,,,2,,0.25,37.3,,,5,2.2,11.9,,0.3,,4.1,,,,9.8,7.798,,,,,,,,,,,,,2.316,,,0.9,,6,,1,,,,,1.7,2.16508,0.04256,0.3,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,0.82,,15,24
Achara,10/13/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,10/14/2010,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.806,,,,,,,,,,,,,3.548,,,,,,,,,,,,,3.50978,0.0152,2.12,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,0.69,,,
Achara,10/15/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,10/16/2010,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.724,,,,,,,,,,,,,3.759,,,,,,,,,,,,,3.73126,0.01216,1.03,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,,0.77,,,
Achara,10/22/2010,,,,,,,,,,0.148,,,,1.5,,,,,,,,,,,2.8,,0.25,42.7,,,10,5,15.2,,0.8,,12.4,,,,10.3,6.686,,,,,,,,,,,,,1.618,,,1.3,,11,,1,,,,,2.3,1.4464,0.02432,1.96,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,,0.17,,13,14
Achara,10/23/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,10/27/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achara,11/13/2010,,,,,,,,,,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.527,,,,,,,,,,,,,1.44188,0.0304,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,
Achara,11/19/2010,,,,,,,,,,0.109,,,,1.5,,,,,,,,,,,1.9,,0.25,43.2,,,6,2.5,12.1,,,,3.1,,,,11.1,,,,,,,,,,,,,,1.948,,,1,,6.2,,,,,,,,1.80574,0.03344,0.48,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,0.57,,3,12
Achara,12/10/2010,,,,,,,,,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.126,,,,,,,,,,,,,0.93112,0.03952,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,0.22,,,
Achara,12/11/2010,,,,,,,,,,0.155,,,,0.5,,,,,,,,,,,2.7,,0.25,40.1,,,9,3.1,9.2,,,,4.2,,,,11.4,,,,,,,,,,,,,,1.189,,,1.3,,6,,1,,,,,,1.01248,0.02128,0.24,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,0.31,,4,10
Achara,1/21/2011,,,,,,,,,,0.105,,,,1,,,,,,,,,,,3.6,,0.5,34.6,,,10,2,8.1,,,,2.6,,,,11.7,,,,,,,,,,,,,,,,,1,,6.1,,1,,,,,,1.11,0.022,0,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,0.075,,3,6
Achara,1/22/2011,,,,,,,,,,0.219,,,,,,,,,,,,,,,2.7,,,,,,8,2.2,,,,,,,,,11.4,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,0.017,0,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,0.12,,4,10
Achara,2/11/2011,,,,,,,,,,0.216,,,,1,,,,,,,,,,,2.4,,0.5,,,,8,2.6,,,,,1.2,,,,13,7.41,,,,,,,,,,,,,,,,1,,,,,,,,,,1.14,0.018,0,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,0.056,,5,4
Achara,2/18/2011,,,,,,,,,,0.139,,,,1,,,,,,,,,,,4.9,,0.5,31.5,,,0,2.2,17,,,,1.2,,,,14.4,7.15,,,,,,,,,,,,,,,,1,,8,,1,,,,,,1.1,0.016,0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,0.157,,1,8
Achara,3/18/2011,,,,,,,,,,0.157,,,,1,,,,,,,,,,,3.4,,0.5,34.6,,,9,2.9,8.7,,0,,2.7,,,,12.3,7.92,,,,,,,,,,,,,,,,0.6,,7.4,,1,,,,,1.2,1,0.034,0,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,0.102,,7,9
Achara,3/31/2011,,,,,,,,,,0.038,,,,1,,,,,,,,,,,3,,0.5,,,,0,1.8,,,0,,1.2,,,,12.58,9.29,,,,,,,,,,,,,,,,1,,,,1,,,,,1.2,1.06,0.01,0,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,0.066,,9,5
Achara,4/16/2011,,,,,,,,,,0,,,,1,,,,,,,,,,,5.8,,0.5,42.5,,,9,3,12.5,,0,,7.3,,,,9.2,6.46,,,,,,,,,,,,,,,,1.7,,9.8,,1,,,,,1.9,1.33,0.058,0,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,0.279,,15,12
Achara,4/22/2011,,,,,,,,,,0.028,,,,,,,,,,,,,,,1.9,,,,,,8,2.4,9.3,,,,,,,,9.4,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,0.016,0,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,0.11,,15,8
Achara,5/13/2011,,,,,,,,,,0.108,,,,0,,,,,,,,,,,4.2,,0,35.1,,,8,2.6,,,0,,4.9,,,,7.4,5.92,,,,,,,,,,,,,,,,1.1,,5.8,,0,,,,,2.5,0.99,0.025,0,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,0.276,,17,14
Achara,5/27/2011,,,,,,,,,,0.073,,,,1.3,,,,,,,,,,,4.4,,0,,,,0,2.1,,,0,,2.8,,,,8.6,8.5,,,,,,,,,,,,,,,,0.9,,,,,,,,,0,1.37,0.056,0,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,0.194,,22,3
Achara,6/11/2011,,,,,,,,,,0.076,,,,1.3,,,,,,,,,,,4.3,,0,33.8,,,8,2.9,,,0,,1.9,,,,7.1,8.97,,,,,,,,,,,,,,,,0.3,,8.1,,0,,,,,0,1.49,0.005,0,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,0.105,,23,10
Achara,6/17/2011,,,,,,,,,,0.041,,,,1.2,,,,,,,,,,,5.5,,0,31.3,,,9,2.8,14.9,,0,,3.8,,,,10.3,0,,,,,,,,,,,,,,,,1,,3.5,,0,,,,,16.9,1.69,0.065,0,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,,0.256,,22,6
Achara,7/9/2011,,,,,,,,,,0.028,,,,,,,,,,,,,,,1.6,,,,,,11,3.2,,,,,,,,,7.9,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.021,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.16,,23,12
Achara,7/14/2011,,,,,,,,,,0,,,,1.2,,,,,,,,,,,4.2,,0,31.3,,,8,2.6,7.3,,0,,3.8,,,,9.8,0,,,,,,,,,,,,,,,,1,,3.5,,0,,,,,16.9,1.12,0.01,0,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.11,,23,6
Achara,8/4/2011,,,,,,,,,,0.069,,,,,,,,,,,,,,,4.4,,,,,,10,3.2,,,,,,,,,6.6,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.036,0,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,0.285,,25,18
Achara,8/11/2011,,,,,,,,,,0.027,,,,2.4,,,,,,,,,,,3.5,,0,37,,,0,1.7,10.4,,1.1,,2,,,,9.4,2.24,,,,,,,,,,,,,,,,1,,5.6,,0,,,,,1,1.28,0.034,0,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,0.174,,25,5
Achara,9/14/2011,,,,,,,,,,0,,,,1.2,,,,,,,,,,,2,,0,32.1,,,0,1.9,8.6,,0,,3.9,,,,8.5,,,,,,,,,,,,,,,,,0.4,,5.2,,0,,,,,1.3,1.03,0.011,0,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,0.124,,22,14
Achara,9/28/2011,,,,,,,,,,0,,,,1.7,,,,,,,,,,,1.7,,0,,,,0,2.1,,,0,,9.2,,,,7.6,6.35,,,,,,,,,,,,,,,,0.4,,,,,,,,,0,0.91,0.007,0,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,0.103,,23,10
Achara,10/8/2011,,,,,,,,,,0.078,,,,2.2,,,,,,,,,,,5.9,,0,,,,11,2.9,,,0,,4.3,,,,8.1,1.58,,,,,,,,,,,,,,,,1.1,,,,,,,,,0,0.46,0.013,0,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.062,,18,5
Achara,10/13/2011,,,,,,,,,,0.097,,,,1.8,,,,,,,,,,,1.7,,0,28.4,,,10,3.4,8.6,,0,,2.2,,,,9.1,10.2,,,,,,,,,,,,,,,,1.6,,4.8,,0,,,,,1.3,1.02,0.014,0,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,0.148,,13,15
Achara,11/11/2011,,,,,,,,,,0.279,,,,0,,,,,,,,,,,3,,0,41.1,,,0,2.2,9.9,,0,,1.7,,,,9.8,,,,,,,,,,,,,,,,,0.5,,4.4,,0,,,,,0,1.13,0.065,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,0.094,,12,3
Achara,11/26/2011,,,,,,,,,,0.041,,,,,,,,,,,,,,,1.4,,,,,,13,4.3,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,0.026,0,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,0.226,,11,10
Achara,12/10/2011,,,,,,,,,,0.089,,,,1.4,,,,,,,,,,,,,0,44.4,,,0,2.1,11.6,,0,,2.4,,,,11.7,,,,,,,,,,,,,,,,,2.5,,20.4,,0,,,,,0,1.93,0.018,0,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,0.08,,1,7
Achara,12/15/2011,,,,,,,,,,0.053,,,,,,,,,,,,,,,2.2,,,,,,0,1.4,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.015,0,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.07,,8,5
Achara,1/20/2012,,,,,,,,,,0.146,,,,0,,,,,,,,,,,1.6,,0.25,34.1,,,0,2.1,8.5,,1.5,,5,,,,11.8,,,,,,,,,,,,,,,,,1.2,,4.8,,,,,,,0,1.12,0.016,0.36,0.059,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,1.65,,0.089,,4,5
Achara,1/21/2012,,,,,,,,,,0.131,,,,,,,,,,,,,,,1.5,,,,,,0,2,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.016,0.41,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,0.078,,2,
Achara,2/10/2012,,,,,,,,,,0.275,,,,,,,,,,,,,,,2.4,,,,,,0,2.6,,,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.015,0.32,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,0.089,,3,
Achara,2/17/2012,,,,,,,,,,0.097,,,,0,,,,,,,,,,,3.4,,0.25,28.1,,,0,,11.1,,0,,2.9,,,,13.8,,,,,,,,,0,,,,,,,,0.5,,6.9,,,,,,,0,0.99,0.012,0.55,0.02,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,1.65,,0.033,,4,5
Achara,3/15/2012,,,,,,,,,,0.912,,,,,,,,,,,,,,,3.6,,,,,,10,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,0.017,0.14,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,0.072,,4,
